,States,City,Age-adj_preval,PopCountByMM
27763,VA,Virginia Beach,Age-adjusted prevalence,"437,994"
27812,CA,Visalia,Age-adjusted prevalence,"124,442"
27859,CA,Vista,Age-adjusted prevalence,"93,834"
27874,TX,Waco,Age-adjusted prevalence,"124,805"
27912,GA,Warner Robins,Age-adjusted prevalence,"66,588"
27968,MI,Warren,Age-adjusted prevalence,"134,056"
27982,RI,Warwick,Age-adjusted prevalence,"82,672"
28150,DC,Washington,Age-adjusted prevalence,"601,723"
28199,CT,Waterbury,Age-adjusted prevalence,"110,366"
28225,IA,Waterloo,Age-adjusted prevalence,"68,406"
28239,IL,Waukegan,Age-adjusted prevalence,"89,078"
28265,WI,Waukesha,Age-adjusted prevalence,"70,718"
28294,CA,West Covina,Age-adjusted prevalence,"106,098"
28325,UT,West Jordan,Age-adjusted prevalence,"103,712"
28364,FL,West Palm Beach,Age-adjusted prevalence,"99,919"
28397,UT,West Valley City,Age-adjusted prevalence,"129,480"
28428,MI,Westland,Age-adjusted prevalence,"84,094"
28441,CA,Westminster,Age-adjusted prevalence,"89,701"
28475,CO,Westminster,Age-adjusted prevalence,"106,114"
28499,CA,Whittier,Age-adjusted prevalence,"85,331"
28551,KS,Wichita,Age-adjusted prevalence,"382,368"
28635,TX,Wichita Falls,Age-adjusted prevalence,"104,553"
28668,DE,Wilmington,Age-adjusted prevalence,"70,851"
28713,NC,Wilmington,Age-adjusted prevalence,"106,476"
28752,NC,Winston-Salem,Age-adjusted prevalence,"229,617"
28815,MA,Worcester,Age-adjusted prevalence,"181,045"
28858,MI,Wyoming,Age-adjusted prevalence,"72,125"
28862,WA,Yakima,Age-adjusted prevalence,"91,067"
28883,NY,Yonkers,Age-adjusted prevalence,"195,976"
28944,OH,Youngstown,Age-adjusted prevalence,"66,982"
28972,AZ,Yuma,Age-adjusted prevalence,"93,064"
29005,US,,Age-adjusted prevalence,"308,745,538"
