,States,City,Age-adj_preval,PopCountByMM
27604,VA,Chesapeake,Age-adjusted prevalence,"222,209"
27684,UT,West Jordan,Age-adjusted prevalence,"103,712"
27732,UT,Ogden,Age-adjusted prevalence,"82,825"
27743,VA,Alexandria,Age-adjusted prevalence,"139,966"
27754,UT,Salt Lake City,Age-adjusted prevalence,"186,440"
27756,UT,St. George,Age-adjusted prevalence,"72,897"
27808,WA,Federal Way,Age-adjusted prevalence,"89,306"
27819,VA,Roanoke,Age-adjusted prevalence,"97,032"
27842,WA,Auburn,Age-adjusted prevalence,"70,180"
27854,WA,Bellingham,Age-adjusted prevalence,"80,885"
27879,WA,Kent,Age-adjusted prevalence,"92,411"
27894,WA,Kennewick,Age-adjusted prevalence,"73,917"
27914,VA,Richmond,Age-adjusted prevalence,"204,214"
28028,WA,Bellevue,Age-adjusted prevalence,"122,363"
28075,VA,Suffolk,Age-adjusted prevalence,"84,585"
28109,WA,Spokane,Age-adjusted prevalence,"208,916"
28250,WA,Everett,Age-adjusted prevalence,"103,019"
28272,WA,Seattle,Age-adjusted prevalence,"608,660"
28282,WA,Renton,Age-adjusted prevalence,"90,927"
28365,VA,Virginia Beach,Age-adjusted prevalence,"437,994"
28402,WA,Yakima,Age-adjusted prevalence,"91,067"
28476,WV,Charleston,Age-adjusted prevalence,"51,400"
28547,WA,Tacoma,Age-adjusted prevalence,"198,397"
28608,WI,Milwaukee,Age-adjusted prevalence,"594,833"
28650,WI,Green Bay,Age-adjusted prevalence,"104,057"
28703,WA,Vancouver,Age-adjusted prevalence,"161,791"
28745,WI,Madison,Age-adjusted prevalence,"233,209"
28766,WI,Appleton,Age-adjusted prevalence,"72,623"
28848,WI,Kenosha,Age-adjusted prevalence,"99,218"
28946,WI,Waukesha,Age-adjusted prevalence,"70,718"
28953,WY,Cheyenne,Age-adjusted prevalence,"59,466"
28998,WI,Racine,Age-adjusted prevalence,"78,860"
