,States,City,Age-adj_preval,PopCountByMM
27652,VA,Chesapeake,Age-adjusted prevalence,"222,209"
27661,VA,Hampton,Age-adjusted prevalence,"137,436"
27681,VA,Alexandria,Age-adjusted prevalence,"139,966"
27710,UT,Provo,Age-adjusted prevalence,"112,488"
27728,VA,Lynchburg,Age-adjusted prevalence,"75,568"
27790,WA,Kent,Age-adjusted prevalence,"92,411"
27797,WA,Bellevue,Age-adjusted prevalence,"122,363"
27816,WA,Bellingham,Age-adjusted prevalence,"80,885"
27863,WA,Kennewick,Age-adjusted prevalence,"73,917"
27920,WA,Renton,Age-adjusted prevalence,"90,927"
27924,VA,Roanoke,Age-adjusted prevalence,"97,032"
27990,WA,Federal Way,Age-adjusted prevalence,"89,306"
28033,WA,Auburn,Age-adjusted prevalence,"70,180"
28108,VA,Suffolk,Age-adjusted prevalence,"84,585"
28129,VA,Richmond,Age-adjusted prevalence,"204,214"
28157,VA,Virginia Beach,Age-adjusted prevalence,"437,994"
28163,WA,Seattle,Age-adjusted prevalence,"608,660"
28184,WA,Everett,Age-adjusted prevalence,"103,019"
28338,WA,Tacoma,Age-adjusted prevalence,"198,397"
28367,WI,Appleton,Age-adjusted prevalence,"72,623"
28418,WA,Yakima,Age-adjusted prevalence,"91,067"
28425,WI,Milwaukee,Age-adjusted prevalence,"594,833"
28462,WA,Vancouver,Age-adjusted prevalence,"161,791"
28681,WV,Charleston,Age-adjusted prevalence,"51,400"
28684,WI,Kenosha,Age-adjusted prevalence,"99,218"
28810,WA,Spokane Valley,Age-adjusted prevalence,"89,755"
28823,WI,Madison,Age-adjusted prevalence,"233,209"
28867,WI,Green Bay,Age-adjusted prevalence,"104,057"
28933,WI,Waukesha,Age-adjusted prevalence,"70,718"
28938,WI,Racine,Age-adjusted prevalence,"78,860"
28974,WY,Cheyenne,Age-adjusted prevalence,"59,466"
29001,WA,Spokane,Age-adjusted prevalence,"208,916"
